executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn0814.localdomain\n', 'top': ['top - 18:04:25 up 174 days,  4:03,  0 users,  load average: 0.21, 0.06, 0.02', 'Tasks: 1441 total,   1 running, 1440 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514600.6 total, 497442.9 free,  16051.4 used,   1106.4 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 495865.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   8181 root       0 -20   86.7g  10.8g   5.0g S   6.2   2.1   5758:18 mmfsd', '1369763 eq4036    20   0   57212   5880   3624 R   6.2   0.0   0:00.03 top', '      1 root      20   0   95688  11672   8412 S   0.0   0.0   0:58.07 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:06.91 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 18:04:25 up 174 days,  4:03,  0 users,  load average: 0.21, 0.06, 0.02\n', 'libOGL.so': '544aaaee37d34b300ed899c8aebbf472  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.3.0'}
CUDA,BiCGStab,NoPrecond,300,1,8,hkn0814.localdomain,1,8,2022-02-03 17:10:17.497548,4278d448938ef29d42691e9fb5f76d87,351.12058
CUDA,CG,NoPrecond,300,1,8,hkn0814.localdomain,1,8,2022-02-03 17:15:41.099872,8fe47bfba32b71fccd1790e5afe1c0bc,322.976486
