executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn0215.localdomain\n', 'top': ['top - 10:55:15 up 179 days, 7 min,  0 users,  load average: 0.37, 1.50, 12.91', 'Tasks: 1659 total,   1 running, 1658 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 256552.8 total, 240930.5 free,  14729.1 used,    893.3 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 240280.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3535900 eq4036    20   0   57344   6088   3576 R  11.8   0.0   0:00.04 top', '      1 root      20   0  243136  11740   8436 S   0.0   0.0   1:04.39 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:20.26 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   6:12.34 ksoftir+'], 'uptime': ' 10:55:15 up 179 days, 7 min,  0 users,  load average: 0.37, 1.50, 12.91\n', 'libOGL.so': '544aaaee37d34b300ed899c8aebbf472  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.3.0'}
DefaultOF,BiCGStab,NoPrecond,200,1,72,hkn0215.localdomain,72,1,2022-02-03 09:57:06.179976,dfbe87299501c6bbb7f6277aafd3241e,107.845243
DefaultOF,CG,NoPrecond,200,1,72,hkn0215.localdomain,72,1,2022-02-03 09:58:11.767167,83c909019305efb7d2bf35e82f596684,65.326423
