executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn0817.localdomain\n', 'top': ['top - 18:04:33 up 174 days,  4:03,  0 users,  load average: 0.35, 0.10, 0.03', 'Tasks: 1449 total,   1 running, 1448 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514600.6 total, 498494.4 free,  15137.4 used,    968.8 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 496848.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1213208 eq4036    20   0   57220   5852   3596 R   5.9   0.0   0:00.03 top', '      1 root      20   0  251340  11028   7716 S   0.0   0.0   0:32.58 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:03.07 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:38.98 ksoftir+'], 'uptime': ' 18:04:33 up 174 days,  4:03,  0 users,  load average: 0.35, 0.10, 0.03\n', 'libOGL.so': '544aaaee37d34b300ed899c8aebbf472  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.3.0'}
CUDA,BiCGStab,NoPrecond,400,1,8,hkn0817.localdomain,8,1,2022-02-03 17:22:58.266186,5411367d9b29d05b5daf1f3df9cad114,1104.330666
CUDA,CG,NoPrecond,400,1,8,hkn0817.localdomain,8,1,2022-02-03 17:41:38.091795,6e9f86b50674395291f3d7407626c5f7,1119.163648
