executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,backend_p,mpiRank_gko,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 17:27:22 up 35 days,  5:19,  3 users,  load average: 31.30, 17.80, 8.47', 'Tasks: 968 total,   1 running, 967 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 515579.1 total,  41402.1 free,   8535.0 used, 465642.0 buff/cache', 'MiB Swap: 131072.0 total, 130854.5 free,    217.5 used. 503962.7 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2885 root      rt   0  661572 182716  69368 S   5.9   0.0 192:44.86 corosync', '1033509 greole    20   0   66424   5576   3836 R   5.9   0.0   0:00.02 top', '      1 root      20   0  249696  11012   6976 S   0.0   0.0   0:21.28 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:06.17 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 17:27:22 up 35 days,  5:19,  3 users,  load average: 31.30, 17.80, 8.47\n', 'libOGL.so': '5118515e2267d350389f48b1e91471a1  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
HIP,CG,NoPrecond,300,None,8,nla-gpu2.ianm.kit.edu,Ginkgo,1,1,2022-09-27 15:36:27.430198,353ef9491d09c034ccfc7bb1ed142f70,544.630015
HIP,CG,NoPrecond,300,None,16,nla-gpu2.ianm.kit.edu,Ginkgo,2,1,2022-09-27 15:45:44.063299,cc33e3f30b5e7612735c1687038d5d17,556.628013
HIP,CG,NoPrecond,300,None,32,nla-gpu2.ianm.kit.edu,Ginkgo,4,1,2022-09-27 15:53:21.071525,06e72bb7755da37415fac8027b686c2f,457.00284
