executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_of,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 12:01:46 up 9 days, 20:59,  0 users,  load average: 4.41, 19.50, 12.17', 'Tasks: 2486 total,   3 running, 2483 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.4 sy,  0.0 ni, 99.4 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 473885.8 free,  29556.2 used,  11017.2 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 481563.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 862902 eq4036    20   0   58360   6900   3612 R  33.3   0.0   0:00.19 top', '   4861 root      20   0 1538184  50280  46240 S  12.5   0.0  21:01.45 rsyslogd', '  25911 root      20   0 2609964  94084  24956 S   4.2   0.0  45:29.99 mmsysmon.py', ' 862904 hj6804    20   0    4512    304    244 R   4.2   0.0   0:00.01 squeue', '2617152 dy7670    20   0  181416   7692   4180 S   4.2   0.0  17:34.68 sshd', '2617889 dy7670    20   0   34920   5032   4260 S   4.2   0.0   7:03.25 sftp-server', '2621451 dy7670    20   0  180136   6648   4196 S   4.2   0.0  53:51.69 sshd', '2624948 dy7670    20   0  180136   6556   4104 S   4.2   0.0  15:37.45 sshd'], 'uptime': ' 12:01:46 up 9 days, 20:59,  0 users,  load average: 4.41, 19.50, 12.17\n', 'libOGL.so': '24288f376cb12aa7f42bbd31ec993f06  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
DefaultOF,CG,DIC,Medium,1,152,hkn1990.localdomain,1,2,2022-05-05 10:01:50.957069,3a7166c3533a03d99cd65dd46a668600,0
DefaultOF,CG,DIC,Medium,1,304,hkn1990.localdomain,1,4,2022-05-05 10:01:51.087926,071cb60fb29b322c9d5db20f9b488738,0
DefaultOF,CG,DIC,Medium,1,38,hkn1990.localdomain,1,0.5,2022-05-05 10:01:51.323064,40b8d2228d48982bc092a43ba001cf1e,0
DefaultOF,CG,DIC,Medium,1,1216,hkn1990.localdomain,1,16,2022-05-05 10:01:51.365639,319292a59204bb0273d698805639a465,0
DefaultOF,CG,DIC,Medium,1,76,hkn1990.localdomain,1,1,2022-05-05 10:01:51.939167,45794608896b439d4a0238e277874c4b,0
DefaultOF,CG,DIC,Medium,1,608,hkn1990.localdomain,1,8,2022-05-05 10:01:51.982055,9bd3efdcebbeda249ab7b5ee32e26948,0
