executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,log_id,run_time
HIP,BiCGStab,ILU,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,09e6e213c3ce9d4c5ed93969fc0113d9,341.089786
HIP,BiCGStab,ILU,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,2683ff8088184fe833b57a16990cf003,443.104235
HIP,BiCGStab,ILU,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,BiCGStab,ILU,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,d9d87f8c93a1122cc95ab770b4015bd4,447.309847
HIP,BiCGStab,ILU,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,9a64207e21fab2c60ca00405e8f593ed,393.43824
HIP,GMRES,Multigrid,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,GMRES,Multigrid,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,GMRES,Multigrid,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,GMRES,Multigrid,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,0,0
HIP,GMRES,Multigrid,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,CG,ISAI,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,CG,ISAI,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,f043c4ba66f36929e0d566063695a83d,205.575595
HIP,CG,ISAI,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,CG,ISAI,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,93231ede7f39f60bbe1ba3bef7665e64,242.831734
HIP,CG,ISAI,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,cb1baeea9ec406a847c5747a5ec0f15c,187.88576
