executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_of,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 06:36:50 up 5 days, 13:37,  1 user,  load average: 5.19, 1.11, 0.35', 'Tasks: 962 total,   1 running, 946 sleeping,  15 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 483328.2 total, 235317.4 free,   2801.8 used, 245208.9 buff/cache', 'MiB Swap: 131072.0 total, 130931.2 free,    140.8 used. 477917.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2267 root      20   0  205936   9988   9236 S   5.9   0.0   0:05.67 sssd_nss', ' 173468 greole    20   0   66408   5824   4164 R   5.9   0.0   0:00.03 top', '      1 root      20   0  257860   9388   6140 S   0.0   0.0   0:05.66 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:01.25 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 06:36:50 up 5 days, 13:37,  1 user,  load average: 5.19, 1.11, 0.35\n', 'libOGL.so': '5ac39bd5bb2625066e174816aa7c2088  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
HIP,CG,BJ,Medium,None,32,nla-gpu2.ianm.kit.edu,fullNode,1,2022-03-29 04:37:30.468890,8ff3fd79ec35ebf71157f8afa0199a18,39.791159
HIP,CG,BJ,Large,None,32,nla-gpu2.ianm.kit.edu,fullNode,1,2022-03-29 04:38:51.334192,d7ca8eb148aad5e8159699731c49600e,80.754951
HIP,CG,BJ,Small,None,32,nla-gpu2.ianm.kit.edu,fullNode,1,2022-03-29 04:39:11.130713,e0f83549723fed5a2de2156ed6273467,19.654981
