executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_of,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 10:31:11 up 62 days, 19:28,  0 users,  load average: 1.02, 3.73, 4.34', 'Tasks: 1944 total,   2 running, 1942 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.9 us,  0.3 sy,  0.0 ni, 98.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 464900.4 free,  35129.0 used,  14429.9 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 475983.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '  25584 root       0 -20  101.9g  26.5g  19.4g S 104.8   5.3  13045:39 mmfsd', ' 889329 lu7800    20   0  761156  60832  28816 S  47.6   0.0   4716:32 gitlab-runner', '4115059 eq4036    20   0   57804   6472   3700 R  23.8   0.0   0:00.12 top', '      1 root      20   0  239456  12196   8160 S   0.0   0.0   7:11.78 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:17.94 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri'], 'uptime': ' 10:31:11 up 62 days, 19:28,  0 users,  load average: 1.02, 3.73, 4.34\n', 'libOGL.so': '6f283d8fd53f5c2acd62baaa550199b2  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
DefaultOF,CG,NoPrecond,500,1,76,hkn1993.localdomain,1,1,2022-06-27 08:31:11.502928,33fcad845331a80ff7fb9abbe8afb5e3,0
DefaultOF,CG,NoPrecond,400,1,76,hkn1993.localdomain,1,1,2022-06-27 08:31:11.539226,1d6538636d1f37552c1aa10c240bfd51,0
DefaultOF,CG,NoPrecond,300,1,76,hkn1993.localdomain,1,1,2022-06-27 08:31:11.592590,fd48889bbdd465d75a59f36437d65272,0
DefaultOF,CG,NoPrecond,200,1,76,hkn1993.localdomain,1,1,2022-06-27 08:31:11.658916,1c4558811aba51934d9937dffb159565,0
DefaultOF,CG,NoPrecond,100,1,76,hkn1993.localdomain,1,1,2022-06-27 08:31:11.704838,6036ff1bd07d6fba9f31ac0b146c84f6,0
