executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 12:30:31 up 56 days,  2:23,  3 users,  load average: 0.08, 2.19, 5.26', 'Tasks: 948 total,   1 running, 947 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.2 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 321039.3 free,   4145.7 used, 190399.1 buff/cache', 'MiB Swap: 131072.0 total, 131017.5 free,     54.5 used. 507913.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '4109086 greole    25   5   66248   5888   4220 R   6.2   0.0   0:00.03 top', '      1 root      20   0  250472  12924   6868 S   0.0   0.0   0:30.17 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:03.05 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:03.42 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   4:47.40 rcu_sch+'], 'uptime': ' 12:30:31 up 56 days,  2:23,  3 users,  load average: 0.08, 2.19, 5.26\n', 'libOGL.so': '016cbc38c14f9bf4f596ba635538e7da  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
DefaultOF,BiCGStab,DIC,400,None,32,nla-gpu2.ianm.kit.edu,32,1,84db6745e9d48939b6b3f0f740281cba,1086.401147
DefaultOF,BiCGStab,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,32,1,a4b750cd8708e0cc449bc263f4d91022,2639.886912
DefaultOF,CG,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,32,1,60793896511c8b70fc05dc9a194a6809,1305.226507
