executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'hkn0017.localdomain\n', 'top': ['top - 23:10:57 up 176 days, 35 min,  0 users,  load average: 40.37, 63.99, 59.54', 'Tasks: 1647 total,   1 running, 1646 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.1 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 256552.8 total, 243099.7 free,  12536.9 used,    916.3 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 242472.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1389169 eq4036    20   0   57344   6092   3584 R  11.8   0.0   0:00.04 top', '1051614 root       0 -20   76.9g   7.9g   2.2g S   5.9   3.1 973:16.16 mmfsd', '      1 root      20   0  243040  11648   8368 S   0.0   0.0   1:12.32 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:24.97 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 23:10:57 up 176 days, 35 min,  0 users,  load average: 40.37, 63.99, 59.54\n', 'libOGL.so': '544aaaee37d34b300ed899c8aebbf472  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
DefaultOF,BiCGStab,NoPrecond,400,1,72,hkn0017.localdomain,72,1,2b97bc84bd19172c26f8e7f0db49cef1,1992.548245
DefaultOF,CG,NoPrecond,400,1,72,hkn0017.localdomain,72,1,720fe0e52cef5adce3f199752dfe0b3e,1035.529505
