executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,backend_p,mpiRank_gko,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 00:50:51 up 62 days, 12:43,  0 users,  load average: 29.89, 32.00, 26.79', 'Tasks: 933 total,   1 running, 932 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515579.1 total, 344176.4 free,   9636.1 used, 161766.5 buff/cache', 'MiB Swap: 131072.0 total, 129914.2 free,   1157.8 used. 503033.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2875703 greole    20   0   66280   5248   3760 R  11.8   0.0   0:00.03 top', '      1 root      20   0  249696   9556   6256 S   0.0   0.0   2:55.21 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:22.51 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq', '     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_'], 'uptime': ' 00:50:51 up 62 days, 12:43,  0 users,  load average: 29.89, 32.00, 26.79\n', 'libOGL.so': 'dbf62a8a0bfcbe649d6ed719d46d474a  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
HIP,CG,NoPrecond,500,None,2,nla-gpu2.ianm.kit.edu,Ginkgo,0.25,1,2022-10-25 00:43:25.503532,b2a80fced931b7e940c5742f903fcabb,6754.23551
HIP,CG,NoPrecond,500,None,32,nla-gpu2.ianm.kit.edu,Ginkgo,4,1,2022-10-25 01:21:39.613920,9546d4c4c378527bf4ec7f8972626f89,2294.09043
