executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_gko,backend_p,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 23:10:39 up 62 days, 11:03,  0 users,  load average: 32.20, 31.13, 22.08', 'Tasks: 934 total,   1 running, 933 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.3 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.1 hi,  0.1 si,  0.0 st', 'MiB Mem : 515579.1 total, 343005.5 free,   9613.0 used, 162960.7 buff/cache', 'MiB Swap: 131072.0 total, 129914.2 free,   1157.8 used. 503056.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2997 haclust+  20   0  150308   8400   6532 S   5.9   0.0  19:18.71 pacemaker-contr', '2874788 greole    20   0   66280   5152   3660 R   5.9   0.0   0:00.03 top', '      1 root      20   0  249696   9552   6256 S   0.0   0.0   2:55.18 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:22.49 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 23:10:39 up 62 days, 11:03,  0 users,  load average: 32.20, 31.13, 22.08\n', 'libOGL.so': 'dbf62a8a0bfcbe649d6ed719d46d474a  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
HIP,CG,NoPrecond,450,None,2,nla-gpu2.ianm.kit.edu,0.25,Ginkgo,1,2022-10-24 22:25:28.343764,9851ab578c728507b9c85a7c67ad2af0,4488.882803
HIP,CG,NoPrecond,450,None,32,nla-gpu2.ianm.kit.edu,4,Ginkgo,1,2022-10-24 22:50:49.665230,d3cb4b0b2c39e74ddae18ca0577ef707,1521.316149
