executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_of,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 11:15:54 up 27 days, 20:13,  0 users,  load average: 51.73, 25.26, 11.46', 'Tasks: 1959 total,   6 running, 1953 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  4.3 us,  2.9 sy,  0.0 ni, 92.2 id,  0.0 wa,  0.2 hi,  0.4 si,  0.0 st', 'MiB Mem : 514459.2 total, 460120.3 free,  41599.9 used,  12739.0 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 469513.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '  25584 root       0 -20  101.5g  25.9g  19.1g S 766.7   5.2   5759:27 mmfsd', '4117904 dc6002    20   0 1065808 886024  13812 R 100.0   0.2   0:02.73 python', '4117357 dc6002    20   0 1693220   1.4g  14284 R 100.0   0.3   0:09.29 python', '4117899 scc-fin+  20   0   59132  24144   1112 R 100.0   0.0   0:05.37 git', '4117857 dc6002    20   0  160252  45080  10116 D  94.4   0.0   0:02.51 ncdump', '4117895 scc-fin+  20   0  101404   1388   1004 S  72.2   0.0   0:02.47 git', '4117898 scc-fin+  20   0   59132  23156   1112 R  66.7   0.0   0:04.63 git', '4117881 scc-fin+  20   0    7788   2032   1888 D  55.6   0.0   0:01.97 chmod'], 'uptime': ' 11:15:54 up 27 days, 20:13,  0 users,  load average: 51.73, 25.26, 11.46\n', 'libOGL.so': '46a428f41a981351cd57642b039729be  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,300,1,32,hkn1993.localdomain,1,0,8,2022-05-23 09:16:49.525596,1b2988f19455247f31e0623b391331fb,0
CUDA,CG,NoPrecond,300,1,8,hkn1993.localdomain,1,0,2,2022-05-23 09:16:50.204096,6e8a5c108de7b3e0291d8a9ce57ccd7b,0
DefaultOF,CG,NoPrecond,300,1,512,hkn1993.localdomain,1,8,0,2022-05-23 09:16:50.478598,61724d01557616026e95de6486455797,0
DefaultOF,CG,NoPrecond,300,1,1024,hkn1993.localdomain,1,16,0,2022-05-23 09:16:56.596346,4b7769f6116c09ff9ac870d4aea53eb1,0
DefaultOF,CG,NoPrecond,300,1,128,hkn1993.localdomain,1,2,0,2022-05-23 09:17:09.200367,a96523428cbaa44dbab0bf9b1e3feac3,0
DefaultOF,CG,NoPrecond,300,1,64,hkn1993.localdomain,1,1,0,2022-05-23 09:17:11.152073,e917b8ea3c9ee8f6c3eb4bd12233728a,0
DefaultOF,CG,NoPrecond,300,1,32,hkn1993.localdomain,1,0.5,0,2022-05-23 09:17:12.195613,929315387ad556e5e4893eaab51c9df6,0
DefaultOF,CG,NoPrecond,300,1,256,hkn1993.localdomain,1,4,0,2022-05-23 09:17:12.864015,56c42a044bc6e3f18b19d7415575d6dd,0
CUDA,CG,NoPrecond,200,1,2,hkn1993.localdomain,1,0,0.5,2022-05-23 09:17:16.829652,207817e77132f14e73fe143b37ac9048,0
CUDA,CG,NoPrecond,200,1,4,hkn1993.localdomain,1,0,1,2022-05-23 09:17:16.963590,74f73eb21f6aa151bcb2fd56cc5f7e3e,0
CUDA,CG,NoPrecond,200,1,16,hkn1993.localdomain,1,0,4,2022-05-23 09:17:17.272619,0e62ea233ce3111da1d8a2fc51bbfca5,0
CUDA,CG,NoPrecond,200,1,64,hkn1993.localdomain,1,0,16,2022-05-23 09:17:17.496171,dd9417c81b9bcd0fbfab9efaa309b1d4,0
CUDA,CG,NoPrecond,200,1,32,hkn1993.localdomain,1,0,8,2022-05-23 09:17:18.230009,b38295d452090085a37377046626c2f1,0
CUDA,CG,NoPrecond,200,1,8,hkn1993.localdomain,1,0,2,2022-05-23 09:17:18.999756,5c955053972254cdbd5cd16682ea0298,0
DefaultOF,CG,NoPrecond,200,1,512,hkn1993.localdomain,1,8,0,2022-05-23 09:17:19.416653,01a717cf8337129eb308c5ffa53ecd41,0
DefaultOF,CG,NoPrecond,200,1,1024,hkn1993.localdomain,1,16,0,2022-05-23 09:17:25.546702,654980b1816b8408b28d5828d5975813,0
DefaultOF,CG,NoPrecond,200,1,128,hkn1993.localdomain,1,2,0,2022-05-23 09:17:38.064319,899b92f9979d789e93eae57e0a84500d,0
DefaultOF,CG,NoPrecond,200,1,64,hkn1993.localdomain,1,1,0,2022-05-23 09:17:39.813571,36709edf49be86c880d602c725848dbf,0
DefaultOF,CG,NoPrecond,200,1,32,hkn1993.localdomain,1,0.5,0,2022-05-23 09:17:40.856651,9b68bc75a206161739096d3cb20c395a,0
DefaultOF,CG,NoPrecond,200,1,256,hkn1993.localdomain,1,4,0,2022-05-23 09:17:41.387347,8a2340b1bb33f9da78d01895cda38910,0
CUDA,CG,NoPrecond,100,1,2,hkn1993.localdomain,1,0,0.5,2022-05-23 09:17:45.123613,c7f9c06a372c29def1c37000cf259cf6,0
CUDA,CG,NoPrecond,100,1,2,hkn1993.localdomain,1,0,0.5,2022-05-23 09:17:45.363692,f36145255099c9b666f24e82f6773a69,0
CUDA,CG,NoPrecond,100,1,4,hkn1993.localdomain,1,0,1,2022-05-23 09:17:45.565723,b69da238eb023d122544161042bef70f,0
CUDA,CG,NoPrecond,100,1,16,hkn1993.localdomain,1,0,4,2022-05-23 09:17:45.804621,9b6f44e0b1e6e584ebd8f134bd6dd7f5,0
CUDA,CG,NoPrecond,100,1,64,hkn1993.localdomain,1,0,16,2022-05-23 09:17:46.000071,4e12044c49b462830fc95e8c17e810d5,0
CUDA,CG,NoPrecond,100,1,32,hkn1993.localdomain,1,0,8,2022-05-23 09:17:46.925743,7befd04ed88ffcb0202b546fe03fc6a5,0
CUDA,CG,NoPrecond,100,1,8,hkn1993.localdomain,1,0,2,2022-05-23 09:17:47.554064,8c9dd423f066301cda28c455f023f5ae,0
DefaultOF,CG,NoPrecond,100,1,512,hkn1993.localdomain,1,8,0,2022-05-23 09:17:47.956394,09738c30c910f7de963946346fa2d2b2,0
DefaultOF,CG,NoPrecond,100,1,1024,hkn1993.localdomain,1,16,0,2022-05-23 09:17:54.524335,84c1289f91cd3444be171d9640cd2053,0
DefaultOF,CG,NoPrecond,100,1,128,hkn1993.localdomain,1,2,0,2022-05-23 09:18:08.393460,bb4269277bd5192bbc7c7c241a0502df,0
DefaultOF,CG,NoPrecond,100,1,64,hkn1993.localdomain,1,1,0,2022-05-23 09:18:10.160103,5f7123ce1bb74ac3d00671000272e5ee,0
DefaultOF,CG,NoPrecond,100,1,32,hkn1993.localdomain,1,0.5,0,2022-05-23 09:18:11.213152,66aa7025be0002eb0b86f28056cf09ef,0
DefaultOF,CG,NoPrecond,100,1,256,hkn1993.localdomain,1,4,0,2022-05-23 09:18:11.878700,d44e76f331c1ef15ddaca52497053cdd,0
