executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn0717.localdomain\n', 'top': ['top - 21:44:03 up 178 days,  7:42,  0 users,  load average: 0.36, 0.13, 0.10', 'Tasks: 1464 total,   1 running, 1463 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.1 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514600.6 total, 484745.8 free,  28522.8 used,   1332.1 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 483280.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   4541 root      20   0       0      0      0 S   5.9   0.0 362:02.03 nv_queue', '4161263 eq4036    20   0   57204   5764   3520 R   5.9   0.0   0:00.03 top', '      1 root      20   0  243196  11792   8416 S   0.0   0.0   1:12.42 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:13.39 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 21:44:03 up 178 days,  7:42,  0 users,  load average: 0.36, 0.13, 0.10\n', 'libOGL.so': '89d4f5f79acdc962eced3eadd53b95d0  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.3.0'}
CUDA,CG,ISAI,100,1,8,hkn0717.localdomain,8,1,2022-02-07 20:44:13.771762,13cd26eaf83ce25173065a54536db723,9.450332
CUDA,CG,NoPrecond,100,1,8,hkn0717.localdomain,8,1,2022-02-07 20:44:21.813610,85c20df15d987a5d248f100a5cb8acf9,8.011252
CUDA,CG,Multigrid,100,1,8,hkn0717.localdomain,8,1,2022-02-07 20:44:37.676876,1f340947cf60ce3a59cfd82bd9cd8ca1,15.764648
