executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_gko,mpiRank_of,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1991.localdomain\n', 'top': ['top - 07:39:47 up 25 days, 16:37,  0 users,  load average: 0.10, 0.12, 0.09', 'Tasks: 1950 total,   1 running, 1949 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 471656.5 free,  30854.1 used,  11948.7 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 480269.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2856629 eq4036    20   0   57808   6356   3588 R  26.1   0.0   0:00.16 top', '  22158 root       0 -20   99.2g  23.7g  17.1g S   4.3   4.7   4992:35 mmfsd', '      1 root      20   0  239448  12000   7920 S   0.0   0.0  15:12.19 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:16.50 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 07:39:47 up 25 days, 16:37,  0 users,  load average: 0.10, 0.12, 0.09\n', 'libOGL.so': '1290762c95b7fa73a78509b5f32d2cdc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,300,1,32,hkn1991.localdomain,8,0,1,2022-05-21 05:39:49.973135,679738b6d2c485f02a0b11699ae1e464,0
CUDA,CG,NoPrecond,300,1,8,hkn1991.localdomain,2,0,1,2022-05-21 05:39:50.019941,18ea8cb4347361b7df634afb869bfaa3,0
DefaultOF,CG,NoPrecond,300,1,512,hkn1991.localdomain,0,8,1,2022-05-21 05:39:50.058474,61724d01557616026e95de6486455797,0
DefaultOF,CG,NoPrecond,300,1,1024,hkn1991.localdomain,0,16,1,2022-05-21 05:39:50.248631,4b7769f6116c09ff9ac870d4aea53eb1,0
DefaultOF,CG,NoPrecond,300,1,128,hkn1991.localdomain,0,2,1,2022-05-21 05:39:50.594796,a96523428cbaa44dbab0bf9b1e3feac3,0
DefaultOF,CG,NoPrecond,300,1,64,hkn1991.localdomain,0,1,1,2022-05-21 05:39:50.646045,e917b8ea3c9ee8f6c3eb4bd12233728a,0
DefaultOF,CG,NoPrecond,300,1,32,hkn1991.localdomain,0,0.5,1,2022-05-21 05:39:50.673286,929315387ad556e5e4893eaab51c9df6,0
DefaultOF,CG,NoPrecond,300,1,256,hkn1991.localdomain,0,4,1,2022-05-21 05:39:50.697724,56c42a044bc6e3f18b19d7415575d6dd,0
CUDA,CG,NoPrecond,200,1,2,hkn1991.localdomain,0.5,0,1,2022-05-21 05:39:50.788284,6b8f7a280ea9ffa459152196b89ada28,0
CUDA,CG,NoPrecond,200,1,4,hkn1991.localdomain,1,0,1,2022-05-21 05:39:50.793274,a8f2e67076a097505f1956eb8f543616,0
CUDA,CG,NoPrecond,200,1,16,hkn1991.localdomain,4,0,1,2022-05-21 05:39:50.798921,1b7a5d4b0682e5bfe00bd8931784f68d,0
CUDA,CG,NoPrecond,200,1,64,hkn1991.localdomain,16,0,1,2022-05-21 05:39:50.811019,2ff46f2ddca4d287b9da4b8f7e27730b,0
CUDA,CG,NoPrecond,200,1,32,hkn1991.localdomain,8,0,1,2022-05-21 05:39:50.837434,719fae0ea71265a82f0c8ddc2ba180b2,0
CUDA,CG,NoPrecond,200,1,8,hkn1991.localdomain,2,0,1,2022-05-21 05:39:50.853202,760fb5bd2f60a1e2bb5c9233a540be3d,0
DefaultOF,CG,NoPrecond,200,1,512,hkn1991.localdomain,0,8,1,2022-05-21 05:39:50.952894,01a717cf8337129eb308c5ffa53ecd41,0
DefaultOF,CG,NoPrecond,200,1,1024,hkn1991.localdomain,0,16,1,2022-05-21 05:39:51.226705,654980b1816b8408b28d5828d5975813,0
