executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_of,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1992.localdomain\n', 'top': ['top - 20:03:47 up 35 days,  5:00,  0 users,  load average: 0.55, 0.46, 0.30', 'Tasks: 1972 total,   1 running, 1971 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 466603.5 free,  33761.9 used,  14093.9 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 477351.7 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 901573 eq4036    20   0   57816   6452   3688 R  30.0   0.0   0:00.13 top', ' 900658 root      20   0       0      0      0 I   5.0   0.0   0:00.08 kworker/0:2-kacpi_notify', '      1 root      20   0  239364  12004   8080 S   0.0   0.0   2:57.38 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:10.21 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 20:03:47 up 35 days,  5:00,  0 users,  load average: 0.55, 0.46, 0.30\n', 'libOGL.so': '8d55e259961f49304dc5d98065bc6773  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
DefaultOF,CG,NoPrecond,400,1,64,hkn1992.localdomain,1,1,0,2022-05-30 18:04:33.346867,de68563c3fcb0e47f3a828e11e812eb0,0
CUDA,CG,NoPrecond,300,1,2,hkn1992.localdomain,1,0,0.5,2022-05-30 18:04:37.454377,94cc63749f867fa6db9d5bb8a1e4621f,0
CUDA,CG,NoPrecond,300,1,4,hkn1992.localdomain,1,0,1,2022-05-30 18:04:37.532042,0111d4fa6b3f7e8e3ab4bb20f830931a,0
CUDA,CG,NoPrecond,300,1,16,hkn1992.localdomain,1,0,4,2022-05-30 18:04:37.627370,0db7fb79eac845ac968727719de7defa,0
CUDA,CG,NoPrecond,300,1,64,hkn1992.localdomain,1,0,16,2022-05-30 18:04:37.843643,cdc6b20d3ae363519239dce5271793cd,0
CUDA,CG,NoPrecond,300,1,32,hkn1992.localdomain,1,0,8,2022-05-30 18:04:38.487752,0e4824a69665e8241b2123cf031090c8,0
CUDA,CG,NoPrecond,300,1,8,hkn1992.localdomain,1,0,2,2022-05-30 18:04:38.838121,34ebf8ad4756211c2cbf6ef17b3f82e4,0
DefaultOF,CG,NoPrecond,300,1,64,hkn1992.localdomain,1,1,0,2022-05-30 18:04:58.359255,603172ffc2d7cfd7401b57724b35e35d,0
CUDA,CG,NoPrecond,200,1,2,hkn1992.localdomain,1,0,0.5,2022-05-30 18:05:02.628416,9f87d7725ca198a9d1e3cc9d7a571056,0
CUDA,CG,NoPrecond,200,1,4,hkn1992.localdomain,1,0,1,2022-05-30 18:05:02.712093,950696b89bc0478f4a2c6712cf51fea2,0
CUDA,CG,NoPrecond,200,1,16,hkn1992.localdomain,1,0,4,2022-05-30 18:05:02.822846,19b97e883d6c30ea2585f2c87e2ce3ab,0
CUDA,CG,NoPrecond,200,1,64,hkn1992.localdomain,1,0,16,2022-05-30 18:05:03.059702,730c2ad393005147be69918888af6a37,0
CUDA,CG,NoPrecond,200,1,32,hkn1992.localdomain,1,0,8,2022-05-30 18:05:03.754127,472c2b13eba266a39a69b4580bda0aaf,0
CUDA,CG,NoPrecond,200,1,8,hkn1992.localdomain,1,0,2,2022-05-30 18:05:04.101688,575741031f6466cf40e475f6dc209362,0
DefaultOF,CG,NoPrecond,200,1,64,hkn1992.localdomain,1,1,0,2022-05-30 18:05:23.045237,20779d4578efefd4c9ff36b0a6f7e575,0
CUDA,CG,NoPrecond,100,1,2,hkn1992.localdomain,1,0,0.5,2022-05-30 18:05:27.204545,66b89d926a6a98e05b28b3c826ca08db,0
CUDA,CG,NoPrecond,100,1,4,hkn1992.localdomain,1,0,1,2022-05-30 18:05:27.302510,cd996c0039aae5e26a95edd63c238a9d,0
CUDA,CG,NoPrecond,100,1,16,hkn1992.localdomain,1,0,4,2022-05-30 18:05:27.396509,c48a9f720da9fae85ad2933e8ca30c11,0
CUDA,CG,NoPrecond,100,1,64,hkn1992.localdomain,1,0,16,2022-05-30 18:05:27.590770,631f94f0bb1fd674af97354db54774d9,0
CUDA,CG,NoPrecond,100,1,32,hkn1992.localdomain,1,0,8,2022-05-30 18:05:28.307486,933e387567c1ab4c9d43d960dc058fa4,0
CUDA,CG,NoPrecond,100,1,8,hkn1992.localdomain,1,0,2,2022-05-30 18:05:28.627772,1658796e7bcfb438319af03e3b8a4ad1,0
DefaultOF,CG,NoPrecond,100,1,64,hkn1992.localdomain,1,1,0,2022-05-30 18:05:47.219287,577d8915fd32c17fbe279bfde2286c65,0
