backend,executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,backend_p,mpiRank_of,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 12:09:41 up 66 days,  5:54,  0 users,  load average: 0.31, 0.65, 0.56', 'Tasks: 2197 total,   1 running, 2196 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 437951.2 free,  64042.4 used,  12465.6 buff/cache', 'MiB Swap:  15258.7 total,  14377.0 free,    881.8 used. 446748.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 156806 eq4036    20   0   56116   6640   3620 R  30.0   0.0   0:00.11 top', ' 151851 root      20   0       0      0      0 I   5.0   0.0   0:00.02 kworker/76:0-events', ' 151861 root      20   0       0      0      0 I   5.0   0.0   0:00.61 kworker/u304:1-bond0', '      1 root      20   0  244292   8596   4612 S   0.0   0.0  16:35.51 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:55.44 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri'], 'uptime': ' 12:09:41 up 66 days,  5:54,  0 users,  load average: 0.31, 0.65, 0.56\n', 'libOGL.so': 'dd4aa9cc72927bea77af730b232e02fc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
0,CUDA,CG,NoPrecond,300,1,8,hkn1993.localdomain,1,0,PETSC,2,2022-10-09 10:09:45.891649,790db7247346b35e2ddd2653f881b2cd,0
0,CUDA,CG,NoPrecond,300,1,4,hkn1993.localdomain,1,1,Ginkgo,0,2022-10-09 10:09:46.179820,c3dc92a01f914c563e6a77f55b203102,0
0,CUDA,CG,NoPrecond,300,1,40,hkn1993.localdomain,1,10,Ginkgo,0,2022-10-09 10:09:46.391201,736ee92eedd76a5a0c2d0d27c3d2e708,0
0,CUDA,CG,NoPrecond,300,1,16,hkn1993.localdomain,1,4,Ginkgo,0,2022-10-09 10:09:46.526049,a261ac4254416eac064b85baffde9bdf,0
0,CUDA,CG,NoPrecond,300,1,8,hkn1993.localdomain,1,2,Ginkgo,0,2022-10-09 10:09:46.717553,68dd3efd54bcffc341ef77b6ddc4f188,0
0,Default,CG,NoPrecond,300,1,152,hkn1993.localdomain,1,0,OpenFOAM,2,2022-10-09 10:09:46.966684,6e3855108ff60af62f34b2115eaa05f6,0
0,Default,CG,NoPrecond,300,1,304,hkn1993.localdomain,1,0,OpenFOAM,4,2022-10-09 10:09:47.299092,0ee3054ed8c749a2139c3244564b39b6,0
0,Default,CG,NoPrecond,300,1,76,hkn1993.localdomain,1,0,OpenFOAM,1,2022-10-09 10:09:47.612472,9485aa02af337a9708da84254dab8b92,0
0,CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,1,0,PETSC,1,2022-10-09 10:09:47.913626,92d6071651899867375e40a8c23103f2,0
0,CUDA,CG,NoPrecond,400,1,40,hkn1993.localdomain,1,0,PETSC,10,2022-10-09 10:09:47.934974,6cb2385a94e8adee7594c08927d699ea,0
0,CUDA,CG,NoPrecond,400,1,16,hkn1993.localdomain,1,0,PETSC,4,2022-10-09 10:09:47.954024,f5f579889f1c47c904f37c6c98102709,0
0,CUDA,CG,NoPrecond,400,1,8,hkn1993.localdomain,1,0,PETSC,2,2022-10-09 10:09:47.973124,2198c67298747bb343d277c92d24dabd,0
0,CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,1,1,Ginkgo,0,2022-10-09 10:09:47.998717,5fa625f135be1b44b1783a158c10765d,0
0,CUDA,CG,NoPrecond,400,1,40,hkn1993.localdomain,1,10,Ginkgo,0,2022-10-09 10:09:48.016550,cea546fb80fdabdde3d53bc348c7a4ad,0
