executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_of,backend_p,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 16:00:58 up 3 days, 25 min,  1 user,  load average: 0.00, 0.01, 0.00', 'Tasks: 932 total,   1 running, 931 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.1 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515579.2 total, 415669.3 free,   6339.5 used,  93570.4 buff/cache', 'MiB Swap: 131072.0 total, 131072.0 free,      0.0 used. 506725.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '  50159 greole    25   5   66268   5676   4020 R   5.9   0.0   0:00.02 top', '      1 root      20   0  241488  14192   8904 S   0.0   0.0   0:03.84 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:00.63 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+'], 'uptime': ' 16:00:58 up 3 days, 25 min,  1 user,  load average: 0.00, 0.01, 0.00\n', 'libOGL.so': 'd2edf0260b78c4c6878c707c783c31df  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
HIP,CG,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,0,PETSC,1,0,0,0
HIP,CG,NoPrecond,100,None,8,nla-gpu2.ianm.kit.edu,8,PETSC,1,2022-08-08 14:02:18.478929,7b9ec0976590426e83fb93a64f58cb1f,74.907738
