executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 21:06:45 up 48 days, 11:00,  3 users,  load average: 0.01, 0.01, 0.00', 'Tasks: 953 total,   1 running, 952 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 421754.3 free,   3806.0 used,  90023.8 buff/cache', 'MiB Swap: 131072.0 total, 131021.0 free,     51.0 used. 508440.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2040912 greole    20   0   66248   5836   4176 R   5.9   0.0   0:00.03 top', '      1 root      20   0  242276  12916   6868 S   0.0   0.0   0:24.31 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:02.41 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:01.77 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   3:50.75 rcu_sch+'], 'uptime': ' 21:06:45 up 48 days, 11:00,  3 users,  load average: 0.01, 0.01, 0.00\n', 'libOGL.so': '4feb5a9af6888972ba40a17b378ef307  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,CG,ILU,Small,None,32,nla-gpu2.ianm.kit.edu,32,1,652e996565f6b1aa005bf56d3b96378c,100.318489
HIP,CG,ILU,Small,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,CG,ILU,Small,None,8,nla-gpu2.ianm.kit.edu,8,1,250cca6bde7ec262e2962d7a460a306e,55.100179
HIP,CG,Multigrid,Small,None,32,nla-gpu2.ianm.kit.edu,32,1,7d8cba1a6670bc10b974bd80318002f3,45.117086
HIP,CG,Multigrid,Small,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,CG,Multigrid,Small,None,8,nla-gpu2.ianm.kit.edu,8,1,221e19afd55f85f6f9dc84651e0be234,49.105072
HIP,BiCGStab,ILU,Small,None,32,nla-gpu2.ianm.kit.edu,32,1,8376f302b078fa3c9da39558dd4cc965,63.658778
HIP,BiCGStab,ILU,Small,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,BiCGStab,ILU,Small,None,8,nla-gpu2.ianm.kit.edu,8,1,87a6521de148eaaddbde6ce942ba6798,52.482452
HIP,GMRES,Multigrid,Small,None,32,nla-gpu2.ianm.kit.edu,32,1,3ddd11cbf41d8099904d80cce87af165,153.639163
HIP,GMRES,Multigrid,Small,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,GMRES,Multigrid,Small,None,8,nla-gpu2.ianm.kit.edu,8,1,adb7cd75544b4284da8399b40a99f8dc,66.835658
HIP,GMRES,BJ,Small,None,32,nla-gpu2.ianm.kit.edu,32,1,0,0
HIP,GMRES,BJ,Small,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,GMRES,BJ,Small,None,8,nla-gpu2.ianm.kit.edu,8,1,6d4bd08320c7ffca2ad5fc0e0631af9d,60.895868
HIP,GMRES,ILU,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,0,0
HIP,GMRES,ILU,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,GMRES,ILU,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,e3b8016da3ea48e3db73e3d285770afc,121.366608
HIP,CG,BJ,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,0,0
HIP,CG,BJ,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,CG,BJ,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,78018d00f1e6f2b24bcc19ddf76ac5c8,92.957524
HIP,BiCGStab,BJ,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,a9cb20ba129987b8b7cf204b503058e0,56.710442
HIP,BiCGStab,BJ,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,BiCGStab,BJ,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,875d0b8f81d5a32d4d787a2b87422ef5,90.465267
