executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_gko,backend_p,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 14:07:22 up 62 days,  1:59,  1 user,  load average: 6.00, 6.01, 5.72', 'Tasks: 956 total,   3 running, 953 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.4 sy,  3.0 ni, 96.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515579.1 total, 293161.2 free,  86866.7 used, 135551.2 buff/cache', 'MiB Swap: 131072.0 total, 129868.2 free,   1203.8 used. 425839.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2819915 greole    25   5   66.8g  62.5g 164996 R 100.0  12.4  37:04.34 decomposePar', '2821590 greole    25   5   17.6g  13.2g 163716 R  94.1   2.6   5:15.45 decomposePar', '2821726 greole    20   0   66412   5620   3884 R  11.8   0.0   0:00.03 top', '   2250 root      20   0  218516  10148   8264 S   5.9   0.0   1:44.64 sssd_be', '      1 root      20   0  249696   9544   6256 S   0.0   0.0   2:54.90 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:22.32 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp'], 'uptime': ' 14:07:22 up 62 days,  1:59,  1 user,  load average: 6.00, 6.01, 5.72\n', 'libOGL.so': 'dbf62a8a0bfcbe649d6ed719d46d474a  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
HIP,CG,NoPrecond,400,None,4,nla-gpu2.ianm.kit.edu,0.5,Ginkgo,1,2022-10-24 12:30:59.830724,bae3909a07d7276832caed1735e4e6aa,1417.434854
HIP,CG,NoPrecond,400,None,8,nla-gpu2.ianm.kit.edu,1.0,Ginkgo,1,2022-10-24 12:43:41.713345,ebc1ecb0d691500e27305239a27d7daa,761.878423
HIP,CG,NoPrecond,400,None,16,nla-gpu2.ianm.kit.edu,2,Ginkgo,1,0,0,0
HIP,CG,NoPrecond,400,None,2,nla-gpu2.ianm.kit.edu,0.25,Ginkgo,1,2022-10-24 13:41:32.956196,a87fa4bfefc293447fb97ebce41804b5,2976.965033
HIP,CG,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,4,Ginkgo,1,2022-10-24 14:01:34.791858,ccbb90291931a590b61ab1de04c3e845,1201.829992
HIP,CG,NoPrecond,400,None,6,nla-gpu2.ianm.kit.edu,0.75,Ginkgo,1,2022-10-24 14:17:06.404635,013151d6581954722909673164d064c7,931.608216
