executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,backend_p,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 10:10:18 up 61 days, 22:02,  1 user,  load average: 6.75, 5.64, 5.55', 'Tasks: 997 total,   6 running, 991 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.5 us,  0.3 sy,  6.1 ni, 92.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515579.1 total, 350424.3 free,  73548.4 used,  91606.3 buff/cache', 'MiB Swap: 131072.0 total, 130028.2 free,   1043.8 used. 439211.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2683488 greole    25   5 7718364   2.3g 163200 R 100.0   0.5   1:08.03 decomposePar', '2682345 greole    25   5   46.2g  41.8g 163968 R  94.1   8.3  34:04.99 decomposePar', '2683081 greole    25   5   18.3g  12.6g 163808 R  94.1   2.5   3:32.76 decomposePar', '2683379 greole    25   5    9.8g   5.4g 163188 R  94.1   1.1   1:17.40 decomposePar', '2684212 jtrzcin+  20   0  114160 101932   3152 R  94.1   0.0   0:00.41 as', '2684217 greole    20   0   66412   5604   3868 R   5.9   0.0   0:00.02 top', '      1 root      20   0  249696   9564   6304 S   0.0   0.0   2:54.74 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:22.24 kthreadd'], 'uptime': ' 10:10:18 up 61 days, 22:02,  1 user,  load average: 6.75, 5.64, 5.55\n', 'libOGL.so': 'dbf62a8a0bfcbe649d6ed719d46d474a  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
HIP,CG,NoPrecond,100,None,16,nla-gpu2.ianm.kit.edu,1,Ginkgo,2,2022-10-24 08:10:38.942397,6998d836f255905f00098e5292708175,20.099186
HIP,CG,NoPrecond,100,None,6,nla-gpu2.ianm.kit.edu,1,Ginkgo,0.75,2022-10-24 08:10:56.219985,46b77db1ff41766cfb4b71dd5972b5f0,17.273325
