executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'hkn0535.localdomain\n', 'top': ['top - 16:58:42 up 170 days,  7:08,  0 users,  load average: 0.32, 0.56, 0.52', 'Tasks: 1442 total,   1 running, 1441 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514600.6 total, 495777.5 free,  17760.7 used,   1062.4 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 494177.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1913335 eq4036    20   0   57216   5880   3624 R   5.9   0.0   0:00.03 top', '      1 root      20   0  316884  11764   8440 S   0.0   0.0   1:00.94 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:08.48 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:51.72 ksoftir+'], 'uptime': ' 16:58:42 up 170 days,  7:08,  0 users,  load average: 0.32, 0.56, 0.52\n', 'libOGL.so': '544aaaee37d34b300ed899c8aebbf472  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
CUDA,CG,ISAI,200,1,8,hkn0535.localdomain,8,1,c54d0fa6cca171982b94c1ed47c3b983,49.439811
CUDA,CG,NoPrecond,200,1,8,hkn0535.localdomain,8,1,8dd1ee691daa12e5ee2eda68f1d47452,49.609016
CUDA,CG,Multigrid,200,1,8,hkn0535.localdomain,8,1,4c0fbe25e5d4b7f17ee504533b4734a9,67.829237
