executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'hkn1621.localdomain\n', 'top': ['top - 10:15:01 up 176 days, 16:54,  0 users,  load average: 0.29, 0.08, 0.05', 'Tasks: 1641 total,   1 running, 1640 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 256552.8 total, 228157.0 free,  27472.9 used,    922.9 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 227531.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3821103 eq4036    20   0   57344   6024   3512 R  11.8   0.0   0:00.04 top', '      1 root      20   0  243040  11652   8368 S   0.0   0.0   1:15.93 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   1:11.11 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   7:11.46 ksoftir+'], 'uptime': ' 10:15:01 up 176 days, 16:54,  0 users,  load average: 0.29, 0.08, 0.05\n', 'libOGL.so': '544aaaee37d34b300ed899c8aebbf472  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
DefaultOF,BiCGStab,DIC,100,1,72,hkn1621.localdomain,72,1,47428b46866b44a11204a1f7144a6210,5.84996
DefaultOF,BiCGStab,NoPrecond,100,1,72,hkn1621.localdomain,72,1,2611035044a7d0e5c39177095c8bb407,5.730628
DefaultOF,BiCGStab,GAMG,100,1,72,hkn1621.localdomain,72,1,91951d2c3fbca146f741c1dba932d194,9.505573
DefaultOF,CG,NoPrecond,100,1,72,hkn1621.localdomain,72,1,1fd0dfb0be6a5d6a7881a01045e02f58,5.001369
DefaultOF,CG,GAMG,100,1,72,hkn1621.localdomain,72,1,3afdd8cb1c5b04918ae9c5d0ad40bcf7,9.29816
DefaultOF,CG,DIC,100,1,72,hkn1621.localdomain,72,1,e28af7cca51487247655845255fe95c3,4.628185
