executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,log_id,run_time
#{'node_data': {'host': 'hkn0815.localdomain\n', 'top': ['top - 16:58:55 up 167 days,  7:15,  0 users,  load average: 0.42, 0.11, 0.08', 'Tasks: 1441 total,   1 running, 1440 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514600.6 total, 497617.5 free,  15945.6 used,   1037.5 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 496005.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 358136 eq4036    20   0   57212   5812   3564 R   5.9   0.0   0:00.03 top', '      1 root      20   0   95684  11476   8220 S   0.0   0.0   0:53.24 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:06.31 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:35.51 ksoftir+'], 'uptime': ' 16:58:55 up 167 days,  7:15,  0 users,  load average: 0.42, 0.11, 0.08\n', 'libOGL.so': '544aaaee37d34b300ed899c8aebbf472  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
CUDA,CG,ISAI,300,1,8,hkn0815.localdomain,1,8,dca1fc15c4caeb41a1c0188ac59efa58,272.940929
CUDA,CG,NoPrecond,300,1,8,hkn0815.localdomain,1,8,f1def3dfdbda60eeb2221ec2fccd4017,271.84915
